title,text,tags
Kemzemkex,"North West.

!!! Geography
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Bay]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Bay)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Savanna]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Savanna)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Swamp]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Swamp)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Hills]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Hills)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Lake]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Lake)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[River]]+[sort[]]"">
<$link><$view field=""title""/></$link> (River)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Forest]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Forest)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Mountain Range]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Mountain Range)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Desert]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Desert)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Jungle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Jungle)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Canyon]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Canyon)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Geography]tag[Volcano]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Volcano)<br/>
</$list>

!!! Urban
<$list filter=""[tag[Kemzemkex]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village)<br/>
</$list>
<$list filter=""[tag[Kemzemkex]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle)<br/>
</$list>

!!! Misc
<$list filter=""[tag[Kemzemkex]!tag[Urban]!tag[Geography]]+[sort[]]"">
<$link><$view field=""title""/></$link> Tagged with: <$view field=""tags""/><br/>
</$list>",Island
Kingdom of Orlon,"""""""
Found in [[Silva]] mostly [[Lizardfolk]]
[[Their Capital|Tiloak]] is found nestled in the Y of the [[River Kous]] on the Island of [[Silva]]. 
They have Very Hostile Relationship with [[The Federation of the Sentinel]].
They have a Very Hostile relationship with [[Xavier]]
They have a Badly Damaged relationship with [[Empire of Anligit]]. (because the attacked [[Xavier]])
They have an Excellent Trade Relationship with the Country of [[Gronzezzeg]].
They have a Bad relationship with the city state of [[Sorraku]].
Has attacked the town of [[Druibar]] (Attackers on 2, defenders on 1)
Has attacked the town of [[Tagenburry]] (Attackers on 3, defenders on 6)
Were attacked by the Federation at Okat-oork (and defended)
""""""

!!! Urban Locations
<$list filter=""[tag[Kingdom of Orlon]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Kingdom of Orlon]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Kingdom of Orlon]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Kingdom of Orlon]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[Kingdom of Orlon]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle) (Population <$view field=""population""/>)<br/>
</$list>",[[Major Faction]]
Kobold,"* [[Name Generator|https://www.fantasynamegenerators.com/pathfinder-kobold-names.php]]
* [[Languages]] Draconic",Race
Komodo Dragon,"Naitive to the [[Swamp of Turatil]] and can only be trained by [[Kobold]]'s out of [[Tura-oka]] or [[Komozaa-oka]]

<$list filter=""[tag[Komodo Dragon]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Wildlife Kemzemkex
Komozaa-oka,"Masters of Taming the [[Komodo Dragon]]'s of the [[Swamp of Turatil]].

<$list filter=""[tag[Komozaa-oka]]+[sort[]]"">
<li><$link><$view field=""title""/></$link></li>
</$list>",Town Gronzezzeg Kemzemkex Urban
Koralan,Goblin Town on the River. downgraded to village after the great fire of Koralan.,Urban Town Cobehot [[Confederacy of the Larne]]
Korat,"Town by [[Thi-Nor]], A rare disease came out of the jungle and struck the town of Korat hard and reduced its population to the size of a village.",[[Kingdom of Orlon]] Urban Silva Village
Krakat-Oork,Abundant supply of Iron,Hills Geography Silva
Ku Rata,"!!! Urban Locations
<$list filter=""[tag[Ku Rata]tag[Urban]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Population <$view field=""population""/>)<br/>
</$list>",[[Minor Faction]]
Lake,"<$list filter=""[tag[Lake]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Languages,"* Common (English), spoken by [[Human]] and [[Halfling]]
* [[Gnomish|https://lingojam.com/Englishto(ElDamo)GnomishTranslator]], Spoken by the [[Gnome]]
* [[Elven|https://lingojam.com/CommontoElvish]], spoken by the [[Elf]]
* [[Goblin|http://www.screwytruths.com/Goblin.html]], spoken by the [[Goblin]]
* [[Draconic|https://draconic.twilightrealm.com]], spoken by the [[Kobold]] and the [[Lizardfolk]]
* [[Dwarven|https://lingojam.com/CommontoDwarvishTranslator]], spoken by the [[Dwarf]]",Home
League of Glang,"""""""
Is Very Hostile with the [[Xavier]].
Is Hostile with the [[Empire of Anligit]].
They have an Alliance with the [[Empire of Zantera]]
Attacked (2) by [[Xavier]] at [[Cellaa Orhim]] which defended (5).
""""""

!!! Urban Locations
<$list filter=""[tag[League of Glang]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[League of Glang]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[League of Glang]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[League of Glang]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village) (Population <$view field=""population""/>)<br/>
</$list>
<$list filter=""[tag[League of Glang]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle) (Population <$view field=""population""/>)<br/>
</$list>",[[Major Faction]]
Lenara,"Top Right.

!!! Geography
<$list filter=""[tag[Lenara]tag[Geography]tag[Bay]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Bay),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Savanna]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Savanna),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Swamp]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Swamp),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Hills]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Hills),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Lake]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Lake),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[River]]+[sort[]]"">
<$link><$view field=""title""/></$link> (River),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Forest]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Forest),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Mountain Range]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Mountain Range),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Desert]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Desert),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Jungle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Jungle),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Canyon]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Canyon),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Geography]tag[Volcano]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Volcano),<br/>
</$list>

!!! Urban
<$list filter=""[tag[Lenara]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village),<br/>
</$list>
<$list filter=""[tag[Lenara]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle),<br/>
</$list>

!!! Misc
<$list filter=""[tag[Lenara]!tag[Urban]!tag[Geography]]+[sort[]]"">
<$link><$view field=""title""/></$link> Tagged with: <$view field=""tags""/><br/>
</$list>",Island
Lerutl Hills,On the Island of [[Kemzemkex]] has a plentiful supply of Coal,Hills Kemzemkex Geography
Like a Tin Can,constrictor related.,Move Wildlife todo
Lizardfolk,"* [[Name Generator|https://www.fantasynamegenerators.com/lizardfolk-names.php]]
* [[Languages]] Draconic",Race
Llek-kala,,Forest Geography Principal
Lukk,"[img[https://nalonar.eaglesroost.org/images/tokens/Lukk.png]]

<<GMNote ""Possible Last Breath - Split, Kharazan vs Molten Core, whats the At Cost?

He was taken from his home village at a very young age by [[Osfire Fernbridge]] and was given some training in the ways of Magic. He quickly realised this was not his home and in his opinion he was being used so he escaped with [[Cas Kesmick]], [[Balvar Muzrald]] and [[Zaglo Kobald]], and he has not looked back since.

Grimoire, in an Arcane script, taught by the Halflings from the [[Acolytes of the Great Flame]], handled by a non magic user, produces a tingling affect within the hands, opening the book, the user will see the text swirl and disappear. (Energy must be 'channelled' into the book in order to get the text to remain.)

While he prepares his spells, there is a warm light that emanates from the book and a low hum can be heard within a few feet.

When he casts spells, there is lots of hand wavering and he often uses a component of some kind as he thinks they help make his spells more powerful.

After he escaped, he saw [[Erol]] perform in a tavern, he was amazed at this performance and how different it was from normal behaviour and decided he should listen when [[Erol]] told him what was socially acceptable and what wasn't.

As a child [[Rask]] went into [[Tomes re Udoka]] in [[Komozaa-oka]]  and 'borrowed' the only copy of [[Raising Dragons 4 Dummies]], on the inside cover it is clearly marked as the property of [[Tomes re Udoka]], when [[Rask]] found out that Lukk could read, he asked him to read the book, at this point [[Lukk]] found the marking on the inside cover and now wants [[Rask]] to return it.

Three members of [[Acolytes of the Great Flame]] was in the area looking for the escaped students, after looking in the [[Swamp of Turatil]] after a tip off from some pirates he headed to [[Komozaa-oka]] to follow up on the tip off. [[Lukk]] was lucky and spotted the cultists before they spotted him, after a quick chat and a plan with [[Tirgeth]] they managed to lure two of them away and isolate and remove them from the equation, unfortunately the other one escaped into the crowd. [[Lukk]] now feels he owes [[Tirgeth]].
"">>",Character Goblin Player Wednesday
Lurk Under the Water,,Wildlife Move todo
Maisie Starhammer,"[img[https://nalonar.eaglesroost.org/images/tokens/Maisie Starhammer.png]]

<<GMNote ""Possible Last Breath - deepholm?, whats the At Cost?

BODY: Relatively short but very stocky and muscular. A few scars on her arms and one on her right cheek. She does sport a well-kept and short beard along with hair that is kept tied back

EYES: Deep blue. They have a hard edge to them

VOICE: Crisp enunciation with a broad accent. Does talk at around a billion miles an hour when excited.

DEMEANOUR: Doesn't take anyone's nonsense, can seem a little abrasive, but she does have a soft streak.

Signature Weapon is a Ancient Hammer that is well crafted and glows when in the presence of [[Strakara]], who was it made, when, why?

After finding herself beset by foes, her last breath struggling to find its way into her lungs, enemy's all around, she feels a burning sensation at the core of her being, the burning sensation seams to burn away her exhaustion and she is able to win the day, as she looks around she sees [[Shol-Tak]] standing on a small hill behind her wreathed in fire. She feels in her core that he is the one responsible for this and knows she owes him. She swears a dwarven debt, to protect him for as long as [[Shol-Tak]] deems her to be useful.

She was traveling with [[Radrick]] as a hired merc, after watching them throw [[Lukk]] overboard for not being able to pay for his passage, she thought that it was a bit unfair and excessive, she had a disagreement and a falling out with [[Radrick]] and after the trip and re encountering [[Lukk]] she thinks he needs to toughen up.

[[Maisie Starhammer]] has never heard of anything good coming from having a pet BEAR, and is convinced that [[Tirgeth]] having Dobbi is an accident waiting to happen.

During the fight with [[Rask]] the last of her dwarven ale from home was spilled, [[Rask]] has been unable to find anything that qualifies to repay the debt.

"">>",Character Player Dwarf Wednesday
Malcolm,,Player Character Thursday GMNote
Malketh,Capital of the [[Empire of Zantera]] found on the island of [[Lenara]].,Capital Urban Lenara [[Empire of Zantera]]
Man Orhim,"Humans, have an especially bad relationship with the Country of [[Xavier]] and settled near to the [[Canyons of Cobeham]]",Town Urban [[League of Glang]] Cobehot
MapMacro,"\define MapMacro()
<<MapMacroInternal {{!!image}}>>
\end

\define MapMacroInternal(imagePath:'',imageStyle:'')
<a href=$imagePath$ target=""_blank""><img style=""$imageStyle$"" src=$imagePath$ width=""100%"" height=""100%""></a>
\end",$:/tags/Macro
Maps,"<$list filter=""[tag[Maps]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Home
Marbledell,plenty of access to the local Marble Quarry's. Was abandoned when the Halflings left to form [[City of the Goddess]]. Was repopulated by the Empire!,Cobehot [[Empire of Anligit]] Urban City [[Acolytes of the Great Flame]]
Mind Control,"When you are compelled to act against your will, mark XP if you act as bidden. If you resist, roll +WIS:

* On 10+, you shake off the compulsion and act as you wish;
* On 7-9, choose 1:
** Stand dazed, fighting for control of your mind
** Start acting as compelled but stop yourself at the last moment
** Harm yourself to regain control (1d6 damage, ignores armour)
* On a 6-, you come to your senses having done gods-know-what.",Move
Mountain Range,"<$list filter=""[tag[Mountain Range]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Move,"<$list filter=""[tag[Move]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Muansi-oka,Capital of [[Gronzezzeg]] found to the south of the [[Lerutl Hills]] on the [[Ulhar River]],Capital Kemzemkex Urban Gronzezzeg
Narlath,Capital City of The Country [[Xavier]] found on the island of [[Principal]] nestled on the [[River Macnath]] south of [[The Forest of Narl]].,Capital Principal Urban Xavier
Narlon Bay Toll Service,"<$list filter=""[tag[Narlon Bay Toll Service]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Pirate Organisation Cobehot Hottelan
Nations of Nalonar,"!!! Relationship's between the Nations

[[Relationship Table]]

!!! Major Factions
<$list filter=""[tag[Major Faction]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>

!!! Minor Factions
<$list filter=""[tag[Minor Faction]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>

!!! City States
<$list filter=""[tag[City State]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>

!!! Misc
<$list filter=""[tag[Pirate]!tag[Urban]!tag[Ruins]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Pirate)<br/>
</$list>
<$list filter=""[tag[Bandit]!tag[Urban]!tag[Ruins]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Bandit)<br/>
</$list>
<$list filter=""[tag[Cult]!tag[Urban]!tag[Ruins]!tag[Character]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Cult)<br/>
</$list>",Home Important
Navigating the Lower Depths,"When navigating the Lower Depths, spend 1 ration per party member and roll + WIS.

* On a 10+, choose 3.
* On a 7-9, choose 2.
* On 6 or less, choose 1 in addition to whatever else the GM says.
** You don't become so lost you cannot return to where you started from;
** You are not ambushed;
** You find what you are looking for;
** You don't spend an extra day (and an extra ration per party member) finding your way;
** You discover something unexpected and useful.",Move
Neil,,Player Character Thursday GMNote
Nek-oku,"Pirate Town, Home to;

<$list filter=""[tag[Nek-oku]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Kemzemkex Urban Pirate
New Sorrimar,Very close to the [[Ruins of Sorrimar]]. Some said it was foolish to leave such a good location for a city untouched. Struck by a metorite and downgraded from City to Village (most population migrated to [[Tagenburry]],Principal Xavier Urban Village
New Spells,"When you create a spell for your spell book (one not available on your class spell list), tell the GM what you’re trying to achieve. Once the affect of the spell is checked and ""ok'ed"", the GM will give you one to four of the following conditions:

* It’s going to take days/weeks/months
* First you must //BLANK//
* You’ll need help from //BLANK//
* It will require a //''lot''// of money
* It will also require //BLANK//
* The best you can do is a lesser version, unreliable and limited.
* It will cost you a point of //BLANK//
* You’ll have to disenchant //BLANK// to do it

When you finish spell research, roll+Int

* On 10+, the spell is created and works as intended
* On 7-9, choose two
** The spell research is successful but costs you a point of Constitution
** The spell research is successful but costs you a point of Intelligence
** Complication of sorts (?)
** Complication of sorts (?)
* On 6- the spell research is ruined and must be started again as well as any other moves the GM takes",Move
Nine Lives,"//When you take your Last Breath// and spend Hold, gain that hold spent as a bonus on your standard Last Breath roll.",Wildlife Move
NPC Creation,"https://a-dungeon-world.fandom.com/wiki/Building_NPCs

https://a-dungeon-world.fandom.com/wiki/NPC_Tables",Character
NPCMacro,"\define NPCMacro()
<a href={{!!image}} target=""_blank""><img src={{!!image}} width=""50%"" height=""50%""></a><br/>
<<GMNote '
Damage - <$transclude field=""damage""/><br/>
Health - <$transclude field=""hp""/><br/>
Armour - <$transclude field=""armour""/><br/>
<$transclude field=""abilities""/><br/>
<$transclude field=""comment""/><br/>
'>>
<$transclude field=""public""/><br/>
\end",$:/tags/Macro
Object,"<$list filter=""[tag[Object]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",
Objects of Note,"<$list filter=""[tag[Object]]+[sort[]]"">
<$link><$view field=""title""/></$link>
<details><$transclude field=""text""/></details><br/>
</$list>",Home
Oka-oku,on the western side of the [[River Okatern]],Town Silva [[Kingdom of Orlon]] Urban
Okat Regulars,"Military Group, Standard Army unit of the [[Kingdom of Orlon]] Fought at [[The Battle of Okat-Oork]] and was ""Stood Down"" afterwards.",Organisation
Okat-Oork,near the [[Krakat-Oork]] hills,Town Silva [[Kingdom of Orlon]] Urban
Oku-Kazi,"Pirates, when the [[Kingdom of Orlon]] Sacked the Pirate town of [[Drumku]] then sailed away and are now birthed out of...",Silva Organisation Pirate Nek-oku Ulzek-oku
Oku-susa,by the water,[[Kingdom of Orlon]] Silva City Urban
Ollicante,,Forest Geography Lenara
Onuk,Bandits,Organisation Kemzemkex Oroun-uku Bandit
Orc,only known connection is the [[Ruins of Sorrimar]],Race
Orllhim-Or-Kala,"Great access to Livestock, on the boarder of the [[Llek-kala]] forest on the eastern coast of [[Principal]]",Town Urban Principal Xavier
Orlon Army Patch,"Worn by [[Shol-Tak]] as a indication of something he has sacrificed to the fire (his affiliation with the [[Kingdom of Orlon]]. Both it and the cloth around it as singed as if by fire, and the truly observant if they manage to get a close enough look will notice that the symbol that represents the kingdom is on fire.",Object
Oroun-uku,"Home to the Bandits of [[Onuk]] located on the main road from [[Gorzzu-oku]] to [[Muansi-oka]]

<$list filter=""[tag[Oroun-uku]]+[sort[]]"">
<$link><$view field=""title""/></$link><br/>
</$list>",Urban Kemzemkex Bandit
Osfire Fernbridge,"menacing fire mage barefoot scorched black toes, robed and mysterious. evil red glowing eyes",Character [[Acolytes of the Great Flame]]
Peninsula Plains,,Savanna Geography Cobehot
Pete,,Player Character Thursday GMNote
Place,"<$list filter=""[tag[Komozaa-oka]]+[sort[]]"">
<li><$link><$view field=""title""/></$link></li>
</$list>",Home
Player,"{{Wednesday Characters}}

{{Thursday Characters}}

!!! Player Characters (Misc)

<$list filter=""[tag[Character]tag[Player]!tag[Wednesday]!tag[Thursday]]+[sort[]]"">
<$link><$view field=""title""/></$link> - <$view field=""player""/><br/>
</$list>",
Poisoned Fang,"Currently don't like it doing ""extra"" damage, but as they can't take tick damage on their turn this feels like an ok solution... ish... needs thought?

//When you sink your fangs into someone or something// and spend 1 hold roll +Dex

* 10+ - You sink your fangs in and your poison goes into them, all attacks against them from this point forwards or until the poison is cleansed get +1D4 damage.
* 7-9 - As 10+ except you needed to stay latched on for a little too long and they retaliate to get you off. They make an attack against you.
* 6- - It did not work, and now they know what you tried to do. GM Move.",Snake Move Wildlife todo
Portcook,infected by the cult,Town Urban Lenara [[Farfood Fellowship]] [[Acolytes of the Great Flame]]
Portcook Lake,,Lake Lenara Geography
Principal,"South East.

!!! Geography
<$list filter=""[tag[Principal]tag[Geography]tag[Bay]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Bay)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Savanna]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Savanna)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Swamp]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Swamp)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Hills]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Hills)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Lake]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Lake)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[River]]+[sort[]]"">
<$link><$view field=""title""/></$link> (River)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Forest]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Forest)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Mountain Range]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Mountain Range)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Desert]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Desert)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Jungle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Jungle)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Canyon]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Canyon)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Geography]tag[Volcano]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Volcano)<br/>
</$list>

!!! Urban
<$list filter=""[tag[Principal]tag[Urban]tag[Capital]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Capital)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Urban]tag[City]]+[sort[]]"">
<$link><$view field=""title""/></$link> (City)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Urban]tag[Town]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Town)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Urban]tag[Village]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Village)<br/>
</$list>
<$list filter=""[tag[Principal]tag[Urban]tag[Castle]]+[sort[]]"">
<$link><$view field=""title""/></$link> (Castle)<br/>
</$list>

!!! Misc
<$list filter=""[tag[Principal]!tag[Urban]!tag[Geography]]+[sort[]]"">
<$link><$view field=""title""/></$link> Tagged with: <$view field=""tags""/><br/>
</$list>",Island
Prominent Geography of Nalonar,"!!! Island's
{{Island}}

!!! Bay's
{{Bay}}

!!! Savannas
{{Savanna}}

!!! Swamps
{{Swamp}}

!!! Hills
{{Hills}}

!!! Lakes
{{Lake}}

!!! Rivers
{{River}}

!!! Forests
{{Forest}}

!!! Mountain Ranges
{{Mountain Range}}

!!! Deserts
{{Desert}}

!!! Jungles
{{Jungle}}

!!! Canyons
{{Canyon}}

!!! Volcanos
{{Volcano}}
",Home
Prowling About,"When you move silently and hidden from sight, hold 3 Cloak. When you risk revealing your presence while holding Cloak, roll 2d6+ Cloak :

* On a 10+, you remain undetected.
* On a 7-9, choose 1 (the GM will fill in the details):
** You arouse suspicion and lose 1 Cloak.
** You are spotted but have the drop on them.
** You stumble on an obstacle you did not expect.
** You leave behind incriminating evidence.
* On a 6-, lose 1 Cloak in addition to whatever the GM says.

When your Cloak reaches 0, the jig is up.

Rolling 2d6+CLOAK is key here : the longer you stay hidden and the more stuff you do, the harder it is to remain undetected. No nonsense like ""it was just my imagination"" from the guards.",Move
publishFilter,"\define publishFilter()
-[[$:/state/GMKey]]
\end",GMImport $:/tags/Macro
Quanova,on the southern coast of the southern island by the mouth of the river [[Kantza]],Town Lenara [[Empire of Zantera]] Urban
Quat-oku,,Gronzezzeg Kemzemkex Town Urban
Race,"!!! Races of Nalonar

| !Race | !Nalonar Urban | !Nalonar Rural | !Nalonar Percentage | !Nalonar % Roll |
| [[Lizardfolk]] | 143,510 | 3,193,932 | 24% | 01 - 24 |
| [[Gnome]] | 14,630 | 570,570 | 4% | 25 - 28 |
| [[Halfling]] | 68,420 | 2,138,677 | 16% | 29 - 44 |
| [[Dwarf]] | 38,250 | 1,624,793 | 12% | 45 - 56 |
| [[Human]] | 45,900 | 1,434,745 | 11% | 57 - 67 |
| [[Elf]] | 56,170 | 2,752,330 | 20% | 68 - 87 |
| [[Goblin]] | 21,350 | 405,650 | 3% | 88 - 90 |
| [[Kobold]] | 43,120 | 1,304,380 | 10% | 91 - 100 |
| Total | 431,350 | 13,425,077 |  |  |

!!! Wildlife of Nalonar

{{Wildlife}}",Home Important
Radrick,"Pirate Captain, known smuggler, not charismatic. very pissed with [[Lukk]] as he owes him the value of a smuggle from one side of the map to the other. is a member of [[Radrick]]",Tura-oka
Ragtarn Mountains,Mountain Range on the Island of [[Principal]] North of [[The Forest of Narl]] has a high potential for Quarrying,[[Mountain Range]] Geography Principal
Raising Dragons 4 Dummies,Book used to teach new people how to train comodo dragons. there WAS known to be a copy in the [[Tomes re Udoka]] library in [[Komozaa-oka]] but it went missing many years ago.,Object
Rango,"[img[https://nalonar.eaglesroost.org/images/tokens/Rango.png]]

Familiar of [[Lukk]]",Character
